Brand,Model Family,Star Rating,Rating Value,Upfront Price,Upfront Pence,Monthly Price,Monthly Pence,Monthly Total Price,Upfront Total Price
Samsung,Galaxy S23 Ultra,,4.43,30.0,0.0,51.0,0.87,51.87,30
Samsung,Galaxy S23,,5.0,30.0,0.0,40.0,0.75,40.75,30
Samsung,Galaxy S23 Plus,,5.0,30.0,0.0,46.0,0.31,46.31,30
Apple,Iphone 14,,4.37,30.0,0.0,37.0,0.74,37.74,30
Apple,Iphone 14 PRO,,4.59,30.0,0.0,47.0,0.99,47.99,30
Oppo,Find N2 Flip,,5.0,30.0,0.0,41.0,0.31,41.31,30
Google,Pixel 7 PRO,,4.77,30.0,0.0,37.0,0.98,37.98,30
Samsung,Galaxy Z Fold4,,4.45,30.0,0.0,62.0,0.98,62.98,30
Apple,Iphone 14 PRO MAX,,4.62,30.0,0.0,50.0,0.5,50.5,30
Apple,Iphone 14 Plus,,4.59,30.0,0.0,40.0,0.28,40.28,30
Google,Pixel 7,,4.67,30.0,0.0,31.0,0.03,31.03,30
Apple,Iphone 13,,4.56,30.0,0.0,35.0,0.74,35.74,30
Sony,Xperia 1 IV,,4.26,30.0,0.0,50.0,0.5,50.5,30
Samsung,Galaxy Z Flip4,,4.35,30.0,0.0,44.0,0.92,44.92,30
Apple,Iphone 11,,4.65,20.0,0.0,29.0,0.77,29.77,20
Samsung,Galaxy S22 Ultra,,4.39,30.0,0.0,48.0,0.99,48.99,30
Apple,Iphone 12 5G,,4.49,20.0,0.0,32.0,0.3,32.3,20
Samsung,Galaxy S22,,3.94,30.0,0.0,38.0,0.5,38.5,30
Apple,Iphone 13 Mini,,4.49,20.0,0.0,32.0,0.74,32.74,20
Samsung,Galaxy S21 FE 5G,,4.4,20.0,0.0,36.0,0.5,36.5,20
Samsung,Galaxy A23 5G,,4.31,0.0,0.0,17.0,0.99,17.99,0
Google,Pixel 6A,,4.53,30.0,0.0,24.0,0.69,24.69,30
Samsung,Galaxy A53 5G,,4.22,20.0,0.0,28.0,0.53,28.53,20
Nothing,Phone 1,,4.58,10.0,0.0,30.0,0.2,30.2,10
Oppo,A57s,,4.21,0.0,0.0,22.0,0.42,22.42,0
Samsung,Galaxy S22 Plus,,4.31,30.0,0.0,43.0,0.5,43.5,30
Apple,Iphone SE 3RD Generation,,4.54,30.0,0.0,29.0,0.64,29.64,30
Oppo,A54 5G,,4.52,0.0,0.0,23.0,0.99,23.99,0
Oppo,Find X5 Lite,,4.5,10.0,0.0,23.0,0.81,23.81,10
Oppo,Find X5 PRO,,4.61,30.0,0.0,33.0,0.61,33.61,30
Samsung,Galaxy A13,,3.95,10.0,0.0,22.0,0.75,22.75,10
Xiaomi,12T PRO 5G,,4.0,10.0,0.0,34.0,0.37,34.37,10
Nokia,C21 Plus,,4.14,0.0,0.0,20.0,0.48,20.48,0
Oppo,Find X5,,4.71,20.0,0.0,30.0,0.21,30.21,20
Samsung,Galaxy Z Flip3 5G,,3.86,50.0,0.0,41.0,0.44,41.44,50
Sony,Xperia 5 III,,4.56,30.0,0.0,33.0,0.67,33.67,30
Samsung,Galaxy A13 5G,,4.0,0.0,0.0,24.0,0.27,24.27,0
Sony,Xperia 10 IV,,4.19,10.0,0.0,29.0,0.5,29.5,10
Samsung,Galaxy A04s,,4.2,0.0,0.0,22.0,0.42,22.42,0
Google,Pixel 6,,4.49,20.0,0.0,34.0,0.0,34.0,20
Nokia,G11,,4.45,0.0,0.0,20.0,0.75,20.75,0
Xiaomi,12 Lite 5G,,4.0,10.0,0.0,27.0,0.7,27.7,10
Google,Pixel 6 PRO,,4.64,30.0,0.0,40.0,0.75,40.75,30
Oppo,Reno8 5G,,4.77,10.0,0.0,29.0,0.37,29.37,10
Samsung,Galaxy A52s 5G,,4.5,20.0,0.0,19.0,0.95,19.95,20
Oppo,A16s,,4.28,0.0,0.0,21.0,0.59,21.59,0
Sony,Xperia 5 IV,,4.69,30.0,0.0,36.0,0.45,36.45,30
Sony,Xperia 1 III,,4.44,30.0,0.0,36.0,0.88,36.88,30
Samsung,Galaxy A33 5G,,4.26,20.0,0.0,26.0,0.59,26.59,20
Oppo,Reno8 PRO 5G,,4.65,10.0,0.0,34.0,0.49,34.49,10
Oppo,Reno8 Lite 5G,,4.69,10.0,0.0,26.0,0.99,26.99,10
Xiaomi,Redmi Note 11 PRO 5G,,4.36,20.0,0.0,25.0,0.2,25.2,20
Xiaomi,Redmi Note 11,,4.86,10.0,0.0,23.0,0.2,23.2,10
Samsung,Galaxy S20 FE 5G,,4.41,30.0,0.0,33.0,0.82,33.82,30
Samsung,Galaxy S21 5G,,4.27,30.0,0.0,38.0,0.99,38.99,30
Motorola,Moto G22,,3.75,10.0,0.0,21.0,0.89,21.89,10
Motorola,Moto Edge 20 PRO 5G,,4.48,30.0,0.0,35.0,0.0,35.0,30
Oppo,Find X3 NEO 5G,,4.55,20.0,0.0,29.0,0.06,29.06,20
Oppo,Find X3 PRO 5G,,4.73,30.0,0.0,37.0,0.06,37.06,30
Oneplus,Nord 2 5G,,4.25,10.0,0.0,22.0,0.99,22.99,10
Motorola,Moto G31,,5.0,10.0,0.0,22.0,0.0,22.0,10
Xiaomi,Redmi 9AT,,3.0,0.0,0.0,20.0,0.75,20.75,0
Doro,8100,,0.0,10.0,0.0,22.0,0.42,22.42,10
